,Duration,Magnitude,%_users,Outflow_drought_min,Outflow_10th,%_users_36,Magnitude_36,%_users_37,Magnitude_37,%_users_38,Magnitude_38,%_users_39,Magnitude_39,%_users_45,Magnitude_45,%_users_50,Magnitude_50,%_users_51,Magnitude_51,%_users_52,Magnitude_52,%_users_53,Magnitude_53,%_users_70,Magnitude_70,%_users_72,Magnitude_72,Classification
99,0,0.0,0.0,0.0,64774.13369331552,,,,,,,,,,,,,,,,,,,,,,,History
100,0,0.0,0.0,0.0,60881.825133252714,,,,,,,,,,,,,,,,,,,,,,,History
101,0,0.0,0.0,0.0,81263.22169074242,,,,,,,,,,,,,,,,,,,,,,,History
102,0,0.0,0.0,0.0,79710.6068186447,,,,,,,,,,,,,,,,,,,,,,,History
103,0,0.0,0.0,0.0,79861.03461138555,,,,,,,,,,,,,,,,,,,,,,,History
104,0,0.0,0.0,0.0,78625.28369826624,,,,,,,,,,,,,,,,,,,,,,,History
105,0,0.0,0.0,0.0,76878.55332833892,,,,,,,,,,,,,,,,,,,,,,,History
106,0,0.0,0.0,0.0,76371.6004495188,,,,,,,,,,,,,,,,,,,,,,,History
107,0,0.0,0.0,0.0,79369.16006078495,,,,,,,,,,,,,,,,,,,,,,,History
108,0,0.0,0.0,0.0,78832.71216516326,,,,,,,,,,,,,,,,,,,,,,,History
109,0,0.0,0.0,0.0,75557.57425015955,,,,,,,,,,,,,,,,,,,,,,,History
110,0,0.0,0.0,0.0,76232.88061932719,,,,,,,,,,,,,,,,,,,,,,,History
111,0,6.0,52.0,35212.0285567026,42324.08084430927,39.0,1.0,21.0,2.0,38.0,4.0,36.0,6.0,58.0,7.0,69.0,6.0,56.0,3.0,20.0,1.0,61.0,9.0,80.0,10.0,77.0,13.0,Encompassing
112,0,7.0,60.0,35107.180136739,40154.737160333156,50.0,2.0,42.0,2.0,45.0,4.0,56.0,7.0,61.0,8.0,72.0,7.0,63.0,3.0,20.0,1.0,67.0,9.0,80.0,11.0,83.0,15.0,Encompassing
113,0,7.0,57.0,35296.59483542878,43820.625827617085,39.0,2.0,46.0,3.0,46.0,4.0,44.0,8.0,58.0,8.0,72.0,7.0,60.0,4.0,20.0,1.0,56.0,10.0,80.0,11.0,83.0,17.0,Paleo
114,0,6.0,62.0,38055.867718911,45416.79864251821,64.0,1.0,54.0,2.0,50.0,4.0,56.0,6.0,61.0,7.0,72.0,7.0,63.0,3.0,20.0,1.0,56.0,9.0,80.0,9.0,81.0,13.0,Paleo
115,0,6.0,60.0,38292.471730823396,41487.25472066243,43.0,2.0,50.0,2.0,47.0,4.0,56.0,6.0,61.0,7.0,72.0,7.0,56.0,3.0,20.0,1.0,67.0,9.0,80.0,10.0,85.0,14.0,Paleo
116,0,6.0,54.0,38866.616803824,46647.28579540421,25.0,1.0,33.0,2.0,41.0,4.0,48.0,7.0,58.0,7.0,66.0,6.0,56.0,3.0,20.0,1.0,67.0,9.0,80.0,10.0,83.0,16.0,Paleo
