,mu0,sigma0,mu1,sigma1,p00,p11,Ensemble
57,0.9818558793255714,1.828898710989637,0.9951245397130201,1.0602347106753618,-0.6172409520866998,0.17934282165131854,Reconstruction + Noise
58,0.9828109696375873,2.102421699601975,0.9934009950559813,1.1333049571609353,-0.6768151916822416,0.20948266287831274,Reconstruction + Noise
59,0.9783861720863339,2.0485760060965057,0.992897675379389,1.079940551018345,-0.6750660306238975,0.2114135255950631,Reconstruction + Noise
60,0.9941042752127454,1.6243448641404994,1.00039394866802,0.7643219446689757,-0.349861600476175,-0.013828482904153616,Reconstruction + Noise
61,0.9720584395338857,2.1395562952565674,0.9914452623547858,1.140857870098031,-0.6520071044968365,0.2560304169612426,Reconstruction + Noise
62,0.98289392003741,1.8881582358323663,0.9922703863169501,1.1426788088900441,-0.6764516467541745,0.19448497198079784,Reconstruction + Noise
63,0.987833094417612,1.6743285141386586,0.9949653293976775,0.9730198596520829,-0.41403509470287,0.12072684074726059,Reconstruction + Noise
64,0.9954574125291783,1.7477568691189878,0.9949133636469493,0.9810578110285001,-0.5903930397650464,0.02754302513509488,Reconstruction + Noise
65,0.9897849960571599,1.7522603794060085,0.9966694507931383,0.9760306195618873,-0.40544073660109836,0.08069688548799503,Reconstruction + Noise
66,0.984893481388804,1.9882256308179296,0.9924037021464752,1.0516013105846238,-0.5895969389428022,0.1844604588309262,Reconstruction + Noise
67,0.9934023881371381,1.673191661256063,0.9959942601490762,0.9973731292395063,-0.337812122380868,0.09237787750448279,Reconstruction + Noise
68,0.9799409041333794,2.1269663529255545,0.9915659285391738,1.1348752307176635,-0.6682625049176433,0.22210990234048744,Reconstruction + Noise
69,0.987999110728158,1.690442124829964,0.9951466001499889,0.9666638290222013,-0.4446466101813975,0.13562770516913147,Reconstruction + Noise
70,0.9884152723709114,1.7450837972828064,0.9955087475321311,0.9442068898815644,-0.466879420501927,0.10969031906194471,Reconstruction + Noise
